longitude,latitude,median_house_value,population
-122.23,37.88,452600,322
-122.22,37.86,358500,2401
-122.24,37.85,352100,496
-122.25,37.85,341300,558
-122.25,37.85,342200,565
-122.25,37.85,269700,413
-122.25,37.84,299200,1094
-122.25,37.84,241400,1157
-122.26,37.84,226700,1206
-122.25,37.84,261100,1551
-122.26,37.85,281500,910
-122.26,37.85,241800,1504
-122.26,37.85,213500,1098
-122.26,37.84,191300,345
-122.26,37.85,159200,1212
-122.26,37.85,140000,697
-122.27,37.85,152500,793
-122.27,37.85,155500,648
-122.26,37.84,158700,990
-122.27,37.84,162900,690
-122.27,37.85,147500,409
-122.27,37.85,159800,929
-122.27,37.84,113900,1015
-122.27,37.84,99700,853
-122.27,37.84,132600,1006
-122.28,37.85,107500,317
-122.28,37.85,93800,607
-122.28,37.85,105500,1102
-122.28,37.84,108900,1131
-122.28,37.84,132000,395
-122.28,37.84,122300,863
-122.28,37.84,115200,1168
-122.27,37.84,110400,1026
-122.27,37.83,104900,754
-122.27,37.83,109700,1258
-122.27,37.83,97200,570
-122.27,37.83,104500,987
-122.28,37.83,103900,901
-122.26,37.83,191400,689
-122.26,37.83,176000,1377
-122.26,37.83,155400,946
-122.26,37.83,150000,517
-122.26,37.84,118800,462
-122.26,37.84,188800,467
-122.26,37.83,184400,660
-122.26,37.83,182300,718
-122.26,37.83,142500,616
-122.27,37.82,137500,558
-122.26,37.82,187500,423
-122.27,37.82,112500,700
-122.27,37.82,171900,735
-122.27,37.82,93800,1061
-122.27,37.82,97500,1959
-122.27,37.82,104200,1162
-122.28,37.82,87500,701
-122.28,37.82,83100,576
-122.28,37.82,87500,622
-122.28,37.82,85300,728
-122.28,37.82,80300,1074
-122.29,37.82,60000,94
-122.29,37.83,75700,554
-122.29,37.82,75000,86
-122.29,37.81,86100,377
-122.3,37.81,76100,521
-122.3,37.81,73500,392
-122.3,37.81,78400,604
-122.3,37.81,84400,788
-122.29,37.8,81300,492
-122.3,37.81,85000,274
-122.29,37.81,129200,1823
-122.29,37.81,82500,392
-122.29,37.81,95200,582
-122.29,37.81,75000,560
-122.29,37.81,67500,18
-122.29,37.81,137500,290
-122.28,37.81,177500,762
-122.28,37.81,102100,1236
-122.28,37.81,108300,721
-122.29,37.81,112500,1054
-122.28,37.8,131300,344
-122.28,37.81,162500,609
-122.27,37.81,112500,183
-122.28,37.81,112500,200
-122.28,37.81,137500,346
-122.28,37.81,118800,467
-122.28,37.81,98200,377
-122.27,37.81,118800,582
-122.27,37.81,162500,546
-122.27,37.8,137500,125
-122.27,37.8,500001,396
-122.27,37.8,162500,800
-122.28,37.8,137500,904
-122.28,37.8,162500,191
-122.27,37.79,187500,718
-122.27,37.8,179200,1327
-122.26,37.8,130000,3469
-122.26,37.82,183800,2048
-122.26,37.81,125000,202
-122.26,37.82,170000,2024
-122.26,37.82,193100,1838
-122.25,37.81,257800,2304
-122.25,37.81,273400,2563
-122.25,37.81,237500,389
-122.25,37.81,350000,895
-122.26,37.81,335700,2689
-122.24,37.82,313400,674
-122.24,37.81,268500,709
-122.25,37.81,259400,686
-122.24,37.82,275700,1444
-122.25,37.82,225000,1520
-122.25,37.82,262500,550
-122.25,37.82,218500,1806
-122.25,37.82,255000,1749
-122.25,37.83,224100,939
-122.25,37.83,243100,675
-122.25,37.83,231600,534
-122.25,37.83,218500,2558
-122.25,37.83,234100,1786
-122.23,37.84,327600,970
-122.23,37.84,347600,1098
-122.24,37.83,366100,794
-122.24,37.85,335000,98
-122.23,37.85,373600,1061
-122.24,37.84,389500,1177
-122.24,37.85,391100,901
-122.22,37.85,337300,2031
-122.22,37.84,295200,1031
-122.21,37.84,292300,1358
-122.21,37.83,411500,1616
-122.2,37.84,311500,844
-122.21,37.84,325900,1140
-122.19,37.84,392600,533
-122.2,37.84,319300,1072
-122.21,37.83,333300,1627
-122.19,37.83,335200,463
-122.2,37.83,351200,542
-122.19,37.83,368900,661
-122.19,37.82,365900,635
-122.2,37.82,366700,420
-122.2,37.82,362800,1265
-122.18,37.81,483300,126
-122.21,37.82,331400,813
-122.2,37.81,323500,1067
-122.21,37.8,216700,1260
-122.21,37.8,233100,951
-122.21,37.81,296400,510
-122.22,37.81,273700,765
-122.22,37.8,227700,1129
-122.22,37.8,199600,1073
-122.22,37.8,239800,1185
-122.22,37.81,270100,756
-122.22,37.81,302100,1034
-122.23,37.8,269500,787
-122.23,37.81,314700,612
-122.22,37.81,390100,1021
-122.23,37.81,410300,861
-122.24,37.81,352400,953
-122.24,37.81,287300,634
-122.23,37.81,348700,878
-122.24,37.81,243800,918
-122.24,37.8,211500,360
-122.25,37.8,218400,1197
-122.24,37.81,269900,1048
-122.25,37.81,218800,1373
-122.25,37.8,225000,1715
-122.25,37.8,250000,1359
-122.25,37.8,171400,1062
-122.25,37.8,193800,1335
-122.24,37.79,125000,1171
-122.25,37.79,97500,1475
-122.25,37.79,125000,742
-122.25,37.79,138800,1086
-122.25,37.8,116700,1645
-122.25,37.8,151800,1710
-122.24,37.8,127000,731
-122.24,37.8,128600,1118
-122.24,37.8,140600,1006
-122.24,37.8,182700,1213
-122.23,37.8,146900,772
-122.24,37.8,122800,1321
-122.24,37.8,169300,1487
-122.23,37.8,126600,488
-122.23,37.8,127900,949
-122.23,37.8,123500,1149
-122.23,37.8,111900,844
-122.23,37.79,112800,4367
-122.23,37.79,107900,1659
-122.23,37.79,137500,1011
-122.24,37.79,105500,1464
-122.24,37.79,95500,1237
-122.24,37.79,116100,647
-122.24,37.79,112200,1284
-122.25,37.79,75000,228
-122.25,37.79,112500,381
-122.25,37.79,125000,846
-122.26,37.8,115000,1659
-122.22,37.77,95000,520
-122.22,37.77,96400,866
-122.23,37.77,72000,612
-122.23,37.78,71300,415
-122.23,37.78,80800,994
-122.22,37.78,128800,1525
-122.23,37.78,112500,1506
-122.23,37.78,119400,1008
-122.23,37.78,118100,2813
-122.23,37.79,122500,1481
-122.23,37.79,106300,859
-122.22,37.79,132500,1608
-122.23,37.79,122700,425
-122.23,37.79,113300,564
-122.22,37.79,109500,961
-122.22,37.79,164700,2273
-122.21,37.79,125000,600
-122.22,37.79,124700,1647
-122.22,37.79,136700,1201
-122.22,37.79,141700,2167
-122.2,37.79,150000,939
-122.21,37.79,138800,859
-122.21,37.79,139200,1517
-122.21,37.79,143800,1143
-122.21,37.8,156500,1109
-122.21,37.8,151000,1221
-122.2,37.8,273000,1115
-122.2,37.8,217100,706
-122.21,37.8,187100,1883
-122.2,37.8,239600,804
-122.21,37.8,229700,506
-122.19,37.8,257300,610
-122.19,37.8,246900,768
-122.19,37.79,179900,462
-122.2,37.79,169600,667
-122.2,37.8,203300,1059
-122.19,37.8,263400,637
-122.19,37.79,231800,1106
-122.19,37.79,140500,1737
-122.2,37.79,126000,1009
-122.2,37.79,122000,737
-122.2,37.79,134700,1354
-122.21,37.79,139400,1530
-122.2,37.79,115400,1410
-122.21,37.78,137300,1390
-122.21,37.78,137000,1065
-122.21,37.78,142600,792
-122.21,37.78,137500,779
-122.22,37.78,111700,2269
-122.21,37.78,126800,1227
-122.21,37.78,111300,753
-122.22,37.77,114800,547
-122.22,37.78,102300,1807
-122.22,37.78,131900,1700
-122.22,37.78,119100,1543
-122.21,37.76,80600,1085
-122.21,37.77,80600,353
-122.21,37.77,88800,473
-122.2,37.77,102400,1621
-122.21,37.77,98700,1183
-122.21,37.77,100000,836
-122.19,37.77,92300,900
-122.2,37.77,94800,1888
-122.2,37.77,102000,1024
-122.2,37.78,158400,1225
-122.2,37.78,121600,1071
-122.2,37.78,129100,1128
-122.2,37.77,121400,1537
-122.21,37.78,102800,1240
-122.19,37.78,160000,469
-122.19,37.77,143900,1086
-122.19,37.77,151200,1144
-122.19,37.78,164400,1109
-122.19,37.78,156500,984
-122.18,37.78,225000,575
-122.19,37.78,174200,496
-122.19,37.78,166900,555
-122.2,37.78,163500,869
-122.18,37.79,253000,236
-122.18,37.79,240700,626
-122.18,37.79,208100,922
-122.19,37.79,198100,582
-122.19,37.79,172800,546
-122.18,37.81,336700,620
-122.18,37.8,318200,442
-122.18,37.8,285800,955
-122.13,37.77,293000,916
-122.16,37.79,371000,4985
-122.17,37.78,157300,651
-122.17,37.77,135300,1704
-122.18,37.78,136700,1085
-122.18,37.78,160700,713
-122.17,37.78,140600,468
-122.17,37.78,144000,296
-122.16,37.77,161900,570
-122.16,37.77,156300,446
-122.16,37.77,176000,968
-122.16,37.77,145800,857
-122.17,37.77,141900,912
-122.17,37.77,90700,1360
-122.17,37.76,90600,1074
-122.17,37.76,107900,965
-122.18,37.76,107000,933
-122.17,37.76,98200,987
-122.18,37.76,89500,907
-122.18,37.76,93800,447
-122.18,37.76,96700,1299
-122.18,37.77,97500,396
-122.18,37.77,97300,877
-122.18,37.76,91200,1111
-122.19,37.76,91400,790
-122.18,37.77,96200,1479
-122.18,37.77,120100,1173
-122.18,37.77,100000,1029
-122.19,37.76,94700,1030
-122.2,37.76,85700,826
-122.19,37.77,89300,1412
-122.19,37.77,101400,1132
-122.19,37.76,72500,522
-122.19,37.76,74100,630
-122.2,37.75,70000,531
-122.2,37.76,84600,1925
-122.19,37.76,81800,1144
-122.19,37.75,81400,1481
-122.19,37.75,81800,435
-122.19,37.76,85800,984
-122.19,37.74,87100,567
-122.18,37.74,83500,380
-122.19,37.73,79700,825
-122.19,37.74,83400,417
-122.19,37.73,84700,801
-122.18,37.73,80000,646
-122.18,37.73,76400,855
-122.18,37.73,79700,435
-122.18,37.73,82400,2736
-122.17,37.74,97700,1481
-122.17,37.74,97200,327
-122.17,37.74,101600,494
-122.17,37.73,86500,1231
-122.18,37.74,90500,323
-122.17,37.74,107600,749
-122.17,37.74,84200,693
-122.18,37.74,88900,1339
-122.18,37.75,80700,282
-122.18,37.75,87100,621
-122.17,37.75,85100,732
-122.18,37.75,82000,901
-122.19,37.75,82800,482
-122.18,37.75,84600,652
-122.18,37.75,82100,651
-122.17,37.76,89300,999
-122.17,37.75,98300,907
-122.17,37.75,92300,828
-122.17,37.75,88800,763
-122.17,37.75,90000,935
-122.16,37.76,95500,1437
-122.16,37.75,91700,1516
-122.17,37.75,100400,597
-122.17,37.76,94800,949
-122.16,37.76,164300,881
-122.16,37.76,155500,1438
-122.15,37.76,196900,763
-122.14,37.77,279100,1297
-122.14,37.76,252800,545
-122.13,37.76,275400,1222
-122.12,37.75,250000,808
-122.12,37.75,329800,329
-122.14,37.75,195500,299
-122.14,37.75,255900,579
-122.13,37.75,311100,137
-122.13,37.75,330000,229
-122.13,37.74,248900,1476
-122.16,37.75,142900,429
-122.15,37.75,126300,849
-122.15,37.75,135800,946
-122.15,37.74,130600,571
-122.16,37.75,107900,1137
-122.16,37.75,111100,378
-122.15,37.74,122000,853
-122.15,37.74,118000,764
-122.16,37.75,95200,928
-122.16,37.75,94300,406
-122.17,37.74,92500,824
-122.17,37.75,91800,835
-122.16,37.74,109400,826
-122.16,37.74,129500,567
-122.16,37.74,143400,355
-122.16,37.74,98200,533
-122.16,37.74,103100,609
-122.29,37.9,276800,576
-122.29,37.9,270900,594
-122.29,37.89,246200,870
-122.3,37.9,224200,1027
-122.29,37.89,229100,693
-122.3,37.89,211600,815
-122.3,37.9,256100,2420
-122.3,37.89,206300,518
-122.3,37.89,221300,620
-122.33,37.89,207400,551
-122.34,37.88,350000,2556
-122.29,37.89,218200,1498
-122.29,37.88,216700,523
-122.29,37.89,270600,374
-122.29,37.89,261400,1004
-122.28,37.88,261300,769
-122.29,37.89,232200,940
-122.27,37.9,375400,645
-122.26,37.9,357300,705
-122.27,37.9,374400,684
-122.27,37.9,358800,572
-122.27,37.9,417500,671
-122.27,37.89,430500,975
-122.28,37.9,362900,779
-122.28,37.9,397000,658
-122.28,37.9,346800,819
-122.28,37.89,327100,412
-122.28,37.89,290100,835
-122.28,37.89,292000,722
-122.28,37.89,270900,1085
-122.27,37.89,371100,973
-122.27,37.89,335600,723
-122.26,37.9,371300,903
-122.25,37.89,344000,356
-122.26,37.89,342200,1005
-122.26,37.89,370900,1205
-122.25,37.89,350000,987
-122.25,37.89,368600,1031
-122.26,37.88,391800,894
-122.26,37.88,415300,823
-122.27,37.88,284900,1232
-122.27,37.88,287500,669
-122.27,37.88,272900,989
-122.28,37.88,259600,1058
-122.28,37.88,254500,506
-122.28,37.88,235600,489
-122.29,37.88,218400,824
-122.29,37.88,229200,1034
-122.29,37.88,192100,920
-122.29,37.88,179300,841
-122.3,37.88,187500,749
-122.3,37.88,138800,208
-122.3,37.87,150000,228
-122.3,37.86,140600,287
-122.29,37.85,120000,218
-122.3,37.88,144800,854
-122.3,37.87,144800,1695
-122.28,37.88,245500,403
-122.28,37.87,200000,288
-122.28,37.87,173700,963
-122.29,37.87,185600,1129
-122.29,37.87,182600,386
-122.28,37.88,227900,811
-122.28,37.87,220700,1293
-122.28,37.87,212000,805
-122.27,37.88,271400,1372
-122.27,37.87,268800,862
-122.27,37.88,277800,1152
-122.26,37.88,332500,483
-122.26,37.88,338900,1558
-122.26,37.88,287500,1798
-122.25,37.87,384600,266
-122.25,37.87,371400,2184
-122.25,37.87,350000,2016
-122.25,37.87,500001,1349
-122.26,37.87,175000,3337
-122.26,37.87,241700,1721
-122.27,37.87,216700,1675
-122.27,37.87,211300,707
-122.27,37.87,210200,1424
-122.28,37.86,196400,393
-122.28,37.87,191700,828
-122.28,37.87,182300,571
-122.29,37.87,175000,1382
-122.29,37.87,165900,792
-122.29,37.86,156900,815
-122.28,37.86,164300,788
-122.29,37.87,150000,1145
-122.29,37.86,150500,1354
-122.28,37.86,169900,958
-122.28,37.86,147400,1361
-122.28,37.85,152700,1005
-122.27,37.86,182700,924
-122.28,37.86,179300,780
-122.28,37.86,157700,1582
-122.28,37.86,153100,1213
-122.27,37.86,250000,486
-122.27,37.86,206300,494
-122.27,37.86,218800,849
-122.27,37.86,198200,1127
-122.26,37.86,253600,3276
-122.26,37.86,257400,1493
-122.26,37.86,289500,1461
-122.26,37.86,241700,1253
-122.25,37.86,489600,1656
-122.25,37.86,446200,514
-122.25,37.86,456300,719
-122.25,37.86,336800,878
-122.24,37.86,500001,517
-122.24,37.85,500001,1366
-122.25,37.86,376900,1316
-122.26,37.85,309600,1508
-122.27,37.85,182300,1800
-122.27,37.85,172700,719
-122.27,37.85,150800,675
-122.27,37.85,153600,875
-122.27,37.85,106300,152
-122.27,37.85,142300,843
-122.28,37.85,119400,281
-122.28,37.85,147900,506
-122.28,37.85,132900,1054
-122.29,37.84,132500,1017
-122.28,37.83,126900,1623
-122.3,37.84,143800,3100
-122.23,37.83,500001,947
-122.22,37.82,500001,808
-122.22,37.82,500001,1018
-122.23,37.82,500001,1001
-122.23,37.82,466100,1005
-122.23,37.82,500001,1192
-122.24,37.83,457800,585
-122.24,37.83,471600,916
-122.23,37.82,500001,556
-122.24,37.82,398600,1470
-122.25,37.82,340700,1104
-122.23,37.76,289900,1242
-122.23,37.76,335300,805
-122.23,37.76,333000,378
-122.24,37.77,241000,481
-122.23,37.77,189600,409
-122.24,37.77,206300,885
-122.25,37.77,215700,1468
-122.25,37.77,210200,482
-122.25,37.77,208800,825
-122.25,37.77,197900,429
-122.26,37.78,201300,528
-122.26,37.78,190800,496
-122.27,37.78,207900,718
-122.27,37.78,215300,630
-122.27,37.78,212900,723
-122.27,37.78,292700,959
-122.28,37.79,275000,3668
-122.3,37.77,200000,2037
-122.28,37.78,173400,3741
-122.29,37.78,102200,821
-122.28,37.77,220800,870
-122.28,37.77,242800,1901
-122.29,37.76,265400,1243
-122.28,37.78,219000,730
-122.26,37.77,282100,793
-122.27,37.77,372000,1033
-122.27,37.77,225800,872
-122.27,37.77,220800,849
-122.27,37.77,234500,1121
-122.25,37.77,254200,872
-122.26,37.77,351800,637
-122.26,37.77,275000,663
-122.26,37.77,405400,411
-122.26,37.77,228100,915
-122.26,37.77,234000,921
-122.24,37.77,162500,585
-122.25,37.77,243400,2086
-122.23,37.76,273800,1303
-122.23,37.76,248500,374
-122.24,37.76,244000,979
